"code","date","instance","message","path","payload"
"400","25/1/2023 00:06:48.268","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","2/11/2023 01:57:26.855","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","15/1/2023 09:08:41.329","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","13/11/2023 02:42:02.388","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","26/12/2023 12:24:50.872","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","2/9/2023 18:42:14.503","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","23/9/2023 02:48:35.702","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","27/9/2023 05:54:35.374","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","10/8/2023 12:27:34.28","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","19/1/2023 03:38:42.272","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","17/4/2023 08:40:55.289","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","30/8/2023 12:28:18.013","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","26/3/2023 18:45:12.951","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","1/9/2023 23:26:07.486","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","3/10/2023 19:52:07.355","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","27/8/2023 11:43:05.214","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","4/2/2023 01:45:40.991","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","25/7/2023 20:15:31.947","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","28/6/2023 02:42:31.229","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","24/5/2023 13:17:34.203","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","4/2/2023 03:20:30.024","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","24/2/2023 11:39:15.121","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","9/7/2023 06:27:35.082","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","8/11/2023 23:31:54.121","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","13/11/2023 16:14:56.35","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","23/5/2023 21:12:46.504","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","3/7/2023 06:02:12.431","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","28/7/2023 19:18:10.943","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","10/1/2023 21:14:18.8","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","11/9/2023 15:02:51.098","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","11/10/2023 21:24:16.927","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","19/3/2023 08:29:48.39","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","15/5/2023 17:45:05.018","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","23/2/2023 21:57:57.355","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
"400","29/8/2023 06:56:37.847","consultas","No se han encontrado resultados","api/v1/consultas/norma/totales","{ ""esReformado"" : false, ""search"" : ""lodep"", ""isCompleteSearch"" : false }"
